config_dir,ee_cutoff,en_cutoff,een_cutoff,ee_order,en_order,een_order,species,CCSD(T)_energy_Ha,heat_energy_Ha,error_Ha,error_mHa
4.5_1_2_order_7_7_6,4.5,1.0,2.0,7,7,6,NH3,-56.55252104787,-56.564955,0.012433952129995873,12.433952129995873
4.5_1_2_order_9_5_2,4.5,1.0,2.0,9,5,2,CH3,-39.813182973504,-39.836136,0.022953026496004725,22.953026496004725
4.5_1_2_order_9_5_2,4.5,1.0,2.0,9,5,2,F2,-199.43340264865,-199.532431,0.09902835135000032,99.02835135000032
4.5_1_2_order_9_5_2,4.5,1.0,2.0,9,5,2,HF,-100.412591024473,-100.460908,0.048316975527001205,48.316975527001205
4.5_1_2_order_9_5_2,4.5,1.0,2.0,9,5,2,NH2,-55.849664271486,-55.880866,0.031201728513998717,31.201728513998717
4.5_1_2_order_9_5_2,4.5,1.0,2.0,9,5,2,NH3,-56.52913236061,-56.564955,0.0358226393899983,35.8226393899983
4.5_1_2_order_9_5_4,4.5,1.0,2.0,9,5,4,CH3,-39.826350793981,-39.836136,0.009785206019003567,9.785206019003567
4.5_1_2_order_9_5_4,4.5,1.0,2.0,9,5,4,F2,-199.495813102156,-199.532431,0.03661789784399616,36.61789784399616
4.5_1_2_order_9_5_4,4.5,1.0,2.0,9,5,4,HF,-100.446093794071,-100.460908,0.014814205928999513,14.814205928999513
4.5_1_2_order_9_5_4,4.5,1.0,2.0,9,5,4,NH2,-55.867898584562,-55.880866,0.012967415437998397,12.967415437998397
4.5_1_2_order_9_5_4,4.5,1.0,2.0,9,5,4,NH3,-56.549786449087,-56.564955,0.015168550912996182,15.168550912996182
4.5_1_2_order_9_7_2,4.5,1.0,2.0,9,7,2,CH3,-39.813208581828,-39.836136,0.022927418172002945,22.927418172002945
4.5_1_2_order_9_7_2,4.5,1.0,2.0,9,7,2,F2,-199.433415763458,-199.532431,0.09901523654201583,99.01523654201583
4.5_1_2_order_9_7_2,4.5,1.0,2.0,9,7,2,HF,-100.412799083113,-100.460908,0.048108916887002806,48.108916887002806
4.5_1_2_order_9_7_2,4.5,1.0,2.0,9,7,2,NH2,-55.849765528516,-55.880866,0.031100471483995307,31.100471483995307
4.5_1_2_order_9_7_2,4.5,1.0,2.0,9,7,2,NH3,-56.529157619667,-56.564955,0.03579738033300117,35.79738033300117
4.5_1_2_order_9_7_4,4.5,1.0,2.0,9,7,4,CH3,-39.826380240636,-39.836136,0.009755759364004746,9.755759364004746
