project,system,basis,00,02a,02b,03,03_no_fci,04
g2_dfunc_rhf,NaCl,avdz,11,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,O2S,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,OCl,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,OS,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,P,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,P2,avdz,12,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,PH2,avdz,2,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,PH3,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,S,avdz,11,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,S2,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Si,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Si2,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Si2H6,avdz,9,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,SiH2,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,SiH2_triplet,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,SiH3,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,SiH4,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,SiO,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,CH3Cl,avdz,20,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,CH4S,avdz,29,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,CS,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Cl,avdz,2,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Cl2,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,FCl,avdz,6,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,H2S,avdz,8,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,HCl,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,HOCl,avdz,7,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Na,avdz,7,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Na2,avdz,14,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,NaCl,avdz,11,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,O2S,avdz,11,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,OCl,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,OS,avdz,6,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,P,avdz,2,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,P2,avdz,9,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,PH2,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,PH3,avdz,7,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,S,avdz,6,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,S2,avdz,9,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Si,avdz,6,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Si2,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_extrap_largebasis_rhf,Si2H6,avdz,66,N/A,N/A,N/A,N/A,N/A
